empresa,indice,tipo,divisa,strategy,buy_date,sale_date,Vendida,year,share_price,share_number,fee_in,invertido_total
Acerinox,BME:ACX,SHARE,EUR,Standard,24/02/2026,,BOUGHT,2026,"13,19 €",20000,"1,53 €","265,33 €"
Acerinox,BME:ACX,SHARE,EUR,Standard,3/03/2026,,BOUGHT,2026,"12,38 €",10000,"1,25 €","125,05 €"
Aena,BME:AENA,SHARE,EUR,Standard,6/02/2026,,BOUGHT,2026,"27,68 €",1000,"1,06 €","28,74 €"
Aena,BME:AENA,SHARE,EUR,Standard,6/02/2026,,BOUGHT,2026,"27,68 €",1000,"1,06 €","28,74 €"
Aena,BME:AENA,SHARE,EUR,Standard,18/02/2026,,BOUGHT,2026,"28,18 €",20000,"2,13 €","565,73 €"
Aena,BME:AENA,SHARE,EUR,Standard,19/02/2026,,BOUGHT,2026,"27,00 €",10000,"1,54 €","271,54 €"
Aena,BME:AENA,SHARE,EUR,Standard,17/03/2026,,BOUGHT,2026,"25,90 €",10000,"1,52 €","260,52 €"
Aena,BME:AENA,SHARE,EUR,Standard,7/04/2026,,BOUGHT,2026,"26,56 €",10000,"1,53 €","267,13 €"
Aena,BME:AENA,SHARE,EUR,Standard,14/04/2026,,BOUGHT,2026,"26,48 €",18000,"1,95 €","478,59 €"
Airbus,BME:AIR,SHARE,EUR,Standard,13/02/2026,,BOUGHT,2026,"193,52 €",3000,"1,00 €","581,56 €"
Airbus,BME:AIR,SHARE,EUR,Standard,19/02/2026,,BOUGHT,2026,"187,06 €",1000,"1,00 €","188,06 €"
Alphabet,FRA:ABEC,SHARE,EUR,Standard,7/07/2025,2/09/2025,SOLD,2025,"151,81 €",6593,"1,00 €","1.001,86 €"
Alphabet,FRA:ABEC,SHARE,EUR,Standard,26/08/2025,2/09/2025,SOLD,2025,"177,94 €",899,"1,00 €","161,02 €"
Alphabet,FRA:ABEA,SHARE,EUR,Standard,25/11/2025,,BOUGHT,2025,"287,55 €",1000,"1,00 €","288,55 €"
Alphabet,FRA:ABEA,SHARE,EUR,Standard,2/12/2025,,BOUGHT,2025,"273,65 €",1000,"1,00 €","274,65 €"
Amazon,Amazon,SHARE,EUR,Standard,23/05/2025,3/07/2025,SOLD,2025,"175,70 €",5692,"1,00 €","1.001,00 €"
Amazon,FRA:AMZ,SHARE,EUR,Standard,8/07/2025,7/10/2025,SOLD,2025,"188,62 €",2651,"1,00 €","501,00 €"
Amazon,FRA:AMZ,SHARE,EUR,Standard,1/08/2025,7/10/2025,SOLD,2025,"188,56 €",2652,"1,00 €","501,00 €"
Apple,Apple,SHARE,EUR,Standard,5/05/2025,20/05/2025,SOLD,2025,"176,92 €",480,"1,00 €","85,99 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,28/07/2025,7/10/2025,SOLD,2025,"47,20 €",7415,"1,00 €","351,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,11/08/2025,7/10/2025,SOLD,2025,"40,80 €",9804,"1,00 €","401,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,8/10/2025,17/10/2025,SOLD,2025,"71,00 €",14085,"1,00 €","1.001,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,9/10/2025,17/10/2025,SOLD,2025,"71,50 €",30070,"1,00 €","2.151,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,10/10/2025,17/10/2025,SOLD,2025,"71,00 €",14085,"1,00 €","1.001,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,16/10/2025,17/10/2025,SOLD,2025,"82,00 €",10270,"1,00 €","843,14 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,17/10/2025,22/12/2025,SOLD,2025,"74,50 €",30000,"1,00 €","2.236,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,20/10/2025,22/12/2025,SOLD,2025,"75,50 €",4000,"1,00 €","303,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,20/10/2025,6/01/2026,SOLD,2025,"75,50 €",6000,"1,00 €","454,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,23/10/2025,6/01/2026,SOLD,2025,"63,50 €",8000,"1,00 €","509,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,19/11/2025,6/01/2026,SOLD,2025,"52,50 €",4000,"1,00 €","211,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,25/11/2025,6/01/2026,SOLD,2025,"48,80 €",2000,"1,00 €","98,60 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,25/11/2025,9/01/2026,SOLD,2025,"48,80 €",14000,"1,00 €","684,20 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,29/12/2025,9/01/2026,SOLD,2025,"61,00 €",3000,"0,50 €","183,50 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,29/12/2025,22/01/2026,SOLD,2025,"61,00 €",15000,"0,50 €","915,50 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,29/12/2025,,BOUGHT,2025,"61,00 €",2000,"0,50 €","122,50 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,11/02/2026,,BOUGHT,2026,"86,00 €",12000,"1,00 €","1.033,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,18/02/2026,,BOUGHT,2026,"72,00 €",10000,"1,00 €","721,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,2/04/2026,,BOUGHT,2026,"81,00 €",5000,"1,00 €","406,00 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,9/04/2026,,BOUGHT,2026,"81,90 €",5000,"1,00 €","410,50 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,9/04/2026,,BOUGHT,2026,"75,90 €",6000,"1,00 €","456,40 €"
AST Space Mobile,FRA:3ZU0,SHARE,EUR,Standard,16/04/2026,,BOUGHT,2026,"74,60 €",10000,"1,00 €","747,00 €"
Banco Unicaja,BME:UNI,SHARE,EUR,Standard,23/09/2025,28/10/2025,SOLD,2025,"2,25 €",102131,"1,46 €","231,46 €"
Bankinter,Bankinter,SHARE,EUR,Standard,22/05/2025,24/07/2025,SOLD,2025,"11,65 €",24045,"1,56 €","281,68 €"
Barclays,Barclays,SHARE,EUR,Standard,1/08/2025,14/07/2025,SOLD,2025,"3,96 €",126422,"1,00 €","501,00 €"
BBVA,BME:BBVA,SHARE,EUR,Standard,29/09/2025,4/11/2025,SOLD,2025,"16,60 €",60241,"3,00 €","1.003,00 €"
BBVA,BME:BBVA,SHARE,EUR,Standard,30/03/2026,9/04/2026,SOLD,2026,"18,10 €",30000,"2,09 €","545,09 €"
BBVA,BME:BBVA,SHARE,EUR,Standard,7/04/2026,9/04/2026,SOLD,2026,"19,20 €",10000,"0,00 €","192,00 €"
BBVA,BME:BBVA,SHARE,EUR,Standard,7/04/2026,,BOUGHT,2026,"19,20 €",30000,"2,54 €","578,54 €"
Berkshire Halthaway (B),NYSE:BRK.B,SHARE,EUR,Standard,25/07/2025,23/09/2025,SOLD,2025,"411,85 €",484,"1,00 €","200,52 €"
Broadcom,FRA:1YD,SHARE,EUR,Standard,20/10/2025,12/02/2026,SOLD,2025,"290,80 €",1000,"1,00 €","291,80 €"
Broadcom,FRA:1YD,SHARE,EUR,Standard,5/01/2026,12/02/2026,SOLD,2026,"288,85 €",1000,"1,00 €","289,85 €"
Broadcom,FRA:1YD,SHARE,EUR,Standard,28/01/2026,26/02/2026,SOLD,2026,"281,90 €",1000,"1,00 €","282,90 €"
Broadcom,FRA:1YD,SHARE,EUR,Standard,6/02/2026,13/03/2026,SOLD,2026,"271,20 €",1000,"1,00 €","272,20 €"
Capcom,FRA:CPK,SHARE,EUR,Standard,15/09/2025,,BOUGHT,2025,"23,69 €",10553,"1,00 €","251,00 €"
Capcom,FRA:CPK,SHARE,EUR,Standard,15/09/2025,,BOUGHT,2025,"18,46 €",10447,"1,00 €","193,85 €"
Cartera Indie,INDIE,FUND,EUR,Standard,22/10/2025,,FUND,2025,"1.320,00 €",,"0,00 €","1.320,00 €"
Cartera Indie,INDIE,FUND,EUR,Standard,8/12/2025,,FUND,2025,"250,00 €",,"0,00 €","250,00 €"
Cartera Indie,INDIE,FUND,EUR,Standard,6/01/2026,,FUND,2026,"200,00 €",,"0,00 €","200,00 €"
Cartera Indie,INDIE,FUND,EUR,Standard,5/02/2026,,FUND,2026,"300,00 €",,"0,00 €","300,00 €"
Cartera Indie,INDIE,FUND,EUR,Standard,5/03/2026,,FUND,2026,"200,00 €",,"0,00 €","200,00 €"
Cisco Systems,FRA:CIS,SHARE,EUR,Standard,2/10/2025,17/10/2025,SOLD,2025,"58,52 €",10219,"0,50 €","598,50 €"
Cisco Systems,FRA:CIS,SHARE,EUR,Standard,2/10/2025,28/01/2026,SOLD,2025,"58,52 €",219,"0,50 €","13,30 €"
Cisco Systems,FRA:CIS,SHARE,EUR,Standard,2/10/2025,28/01/2026,SOLD,2025,"61,46 €",4781,"1,00 €","294,86 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Standard,16/05/2025,,BOUGHT,2025,"100,42 €",2490,"1,00 €","251,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Standard,25/07/2025,,BOUGHT,2025,"103,12 €",1940,"1,00 €","201,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saving,18/08/2025,,BOUGHT,2025,"104,82 €",954,"0,00 €","100,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saving,2/09/2025,,BOUGHT,2025,"104,05 €",961,"0,00 €","100,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saveback,2/10/2025,,BOUGHT,2025,"108,43 €",138,"0,00 €","14,96 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saving,2/10/2025,,BOUGHT,2025,"108,45 €",1844,"0,00 €","200,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saving,3/11/2025,,BOUGHT,2025,"111,93 €",1787,"0,00 €","200,00 €"
Core MSCI World USD,AMS:IWDA,ETF,EUR,Saving,3/11/2025,,BOUGHT,2025,"109,81 €",455,"0,00 €","50,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Saving,16/07/2025,8/01/2025,SOLD,2025,"576,06 €",174,"0,00 €","100,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Round-up,16/09/2025,8/01/2025,SOLD,2025,"597,92 €",10,"0,00 €","5,83 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Saving,16/09/2025,8/01/2025,SOLD,2025,"597,94 €",167,"0,00 €","100,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,18/09/2025,8/01/2025,SOLD,2025,"603,62 €",1657,"1,00 €","1.001,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Round-up,23/09/2025,8/01/2025,SOLD,2025,"607,12 €",23,"0,00 €","14,12 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,23/09/2025,8/01/2025,SOLD,2025,"602,34 €",806,"1,00 €","486,27 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,23/09/2025,30/01/2026,SOLD,2025,"602,34 €",854,"1,00 €","515,69 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Round-up,2/10/2025,30/01/2026,SOLD,2025,"612,78 €",18,"0,00 €","11,23 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Round-up,9/10/2025,30/01/2026,SOLD,2025,"622,62 €",17,"0,00 €","10,52 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Saving,16/10/2025,30/01/2026,SOLD,2025,"613,76 €",163,"0,00 €","100,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,17/10/2025,30/01/2026,SOLD,2025,"601,74 €",843,"1,00 €","508,09 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,17/10/2025,11/02/2026,SOLD,2025,"601,74 €",1157,"1,00 €","697,39 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,17/11/2025,11/02/2026,SOLD,2025,"623,20 €",160,"0,00 €","100,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Saving,16/12/2025,11/02/2026,SOLD,2025,"618,28 €",81,"0,00 €","50,00 €"
Core S&P500 USD,AMS:CSPX,ETF,EUR,Standard,16/12/2025,11/02/2026,SOLD,2025,"624,46 €",1601,"1,00 €","1.001,00 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,8/10/2025,17/10/2025,SOLD,2025,"113,00 €",8000,"1,00 €","905,00 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,8/10/2025,16/01/2026,SOLD,2025,"113,00 €",850,"1,00 €","97,00 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,3/11/2025,16/01/2026,SOLD,2025,"110,50 €",2150,"1,00 €","238,62 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,6/11/2025,16/01/2026,SOLD,2025,"101,50 €",2000,"1,00 €","204,00 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,13/11/2025,16/01/2026,SOLD,2025,"74,40 €",3000,"1,00 €","224,20 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,19/11/2025,16/01/2026,SOLD,2025,"67,00 €",4000,"0,50 €","268,50 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,19/11/2025,26/02/2026,SOLD,2025,"67,00 €",4500,"0,25 €","301,75 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,19/11/2025,16/04/2026,SOLD,2025,"67,00 €",1500,"0,25 €","100,75 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,6/02/2026,16/04/2026,SOLD,2026,"65,40 €",3000,"0,50 €","196,70 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,3/03/2026,16/04/2026,SOLD,2026,"63,60 €",1000,"0,50 €","64,10 €"
CoreWeave INC,FRA:I1V,SHARE,EUR,Standard,3/03/2026,,BOUGHT,2026,"63,60 €",2500,"0,50 €","159,50 €"
