estado,empresa,indice,tipo,acciones,precio_medio,coste_total,comisiones,precio_actual,valor_actual,pnl,pnl_pct,div_yield,div_rate,next_ex_div,operaciones,invertido,aportaciones
BOUGHT,AST Space Mobile,FRA:3ZU0,SHARE,50.0,77.8,3896.4,6.5,73.0,3650.0,-246.4,-6.3238,0.0,0.0,,,,
BOUGHT,Acerinox,BME:ACX,SHARE,30.0,12.92,390.38,2.7800000000000002,13.6,408.0,17.62,4.5136,0.0456,0.62,2026-07-15,,,
BOUGHT,Aena,BME:AENA,SHARE,70.0,27.0,1900.99,10.79,26.64,1864.8,-36.19,-1.9037,0.0409,1.09,2026-04-23,,,
BOUGHT,Airbus,BME:AIR,SHARE,3.9999999999999996,191.9,769.62,2.0,179.54,718.16,-51.46,-6.6864,0.0178,3.2,2026-04-21,,,
BOUGHT,Alphabet,FRA:ABEA,SHARE,2.0,280.6,563.2,2.0,289.8,579.6,16.4,2.9119,,,2026-03-09,,,
BOUGHT,BBVA,BME:BBVA,SHARE,30.0,19.2,578.54,2.54,20.31,609.3,30.76,5.3168,0.0453,0.92,2026-04-08,,,
BOUGHT,Capcom,FRA:CPK,SHARE,20.99988818190175,21.09,444.85,2.0,19.36,406.56,-38.29,-8.6079,0.0113,0.22,2026-03-30,,,
BOUGHT,Core MSCI World USD,AMS:IWDA,ETF,10.56842471347983,105.5,1116.96,2.0,116.68,1233.07,116.11,10.3953,,,,,,
BOUGHT,CoreWeave INC,FRA:I1V,SHARE,5.5,81.54,449.97,1.5,100.56,553.08,103.11,22.9149,0.0,0.0,,,,
BOUGHT,EssilorLuxottica,EPA:EL,SHARE,3.0,257.1,776.38,5.08,215.7,647.1,-129.28,-16.6516,0.0185,4.0,2026-05-05,,,
BOUGHT,Hubspot,FRA:096,SHARE,13.000007524515055,304.03,3960.39,8.0,191.5,2489.5,-1470.89,-37.14,0.0,0.0,,,,
BOUGHT,IAG,BME:IAG,SHARE,180.0,4.74,855.8,2.0,4.71,847.44,-8.36,-0.9769,0.0208,0.1,2026-06-25,,,
BOUGHT,IBEX 35 EUR,EPA:CS1,ETF,5.496456179274495,420.55,2313.05,1.5,470.5,2586.08,273.03,11.804,,,,,,
BOUGHT,Iberdrola,BME:IBE,SHARE,21.0,19.86,419.86,2.84,19.8,415.8,-4.06,-0.967,0.0334,0.66,2026-05-28,,,
BOUGHT,Logistica Holdings,BME:LOG,SHARE,30.0,33.59,1013.67,6.01,32.64,979.2,-34.47,-3.4005,0.0616,2.01,2026-02-24,,,
BOUGHT,Meta Platform,FRA:FB2A,SHARE,1.0,541.0,542.0,1.0,585.0,585.0,43.0,7.9336,,,2026-03-16,,,
BOUGHT,Microsoft,FRA:MSF,SHARE,5.00000230179564,404.57,2026.84,4.0,359.45,1797.25,-229.59,-11.3274,,,2026-05-21,,,
BOUGHT,Nintendo,FRA:NTO,SHARE,26.00000240742606,70.81,1844.05,3.0,46.01,1196.13,-647.92,-35.1357,0.0215,0.99,2026-03-30,,,
BOUGHT,Nvidea,FRA:NVD,SHARE,4.0,151.09,606.36,2.0,171.34,685.36,79.0,13.0286,0.02,0.03,2026-03-11,,,
BOUGHT,Palantir Technology,FRA:PTX,SHARE,3.0000000000000004,163.64,491.92,1.0,124.46,373.38,-118.54,-24.0974,0.0,0.0,,,,
BOUGHT,Physical gold,FRA:PPFB,ETF,11.395117211223127,82.33,938.66,0.5,,,,,,,,,,
BOUGHT,Repsol,BME:REP,SHARE,24.999999999999996,16.26,407.65,1.15,19.72,493.0,85.35,20.9371,0.0559,1.1,2026-07-06,,,
BOUGHT,Rezolve AI,FRA:O5F,SHARE,200.0,2.48,499.0,2.0,2.44,488.0,-11.0,-2.2044,0.0,0.0,,,,
BOUGHT,Salesforce,FRA:FOO,SHARE,5.0,212.23,1063.65,2.5,155.0,775.0,-288.65,-27.1377,,,2026-04-09,,,
BOUGHT,Santander,BME:SAN,SHARE,-25.658098158997262,2.1,1642.87,1696.6299999999999,11.04,-283.32,-1926.19,-117.2452,0.0226,0.25,2026-04-30,,,
BOUGHT,Telefonica,BME:TEF,SHARE,290.0,3.67,1066.3,2.0,3.87,1121.43,55.13,5.1702,0.0776,0.3,2026-06-16,,,
BOUGHT,UnitedHealth Group,FRA:UNH,SHARE,6.0,277.05,1664.3,2.0,275.4,1652.4,-11.9,-0.715,0.0279,7.69,2026-03-09,,,
SOLD,AST Space Mobile,FRA:3ZU0,SHARE,,,11342.94,14.0,,,,,,,,15.0,,
SOLD,Alphabet,FRA:ABEC,SHARE,,,1162.88,2.0,,,,,,,,2.0,,
SOLD,Amazon,Amazon,SHARE,,,1001.0,1.0,,,,,,,,1.0,,
SOLD,Amazon,FRA:AMZ,SHARE,,,1002.0,2.0,,,,,,,,2.0,,
SOLD,Apple,Apple,SHARE,,,85.99,1.0,,,,,,,,1.0,,
SOLD,BBVA,BME:BBVA,SHARE,,,1740.09,5.09,,,,,,,,3.0,,
SOLD,Banco Unicaja,BME:UNI,SHARE,,,231.46,1.46,,,,,,,,1.0,,
SOLD,Bankinter,Bankinter,SHARE,,,281.68,1.56,,,,,,,,1.0,,
SOLD,Barclays,Barclays,SHARE,,,501.0,1.0,,,,,,,,1.0,,
SOLD,Berkshire Halthaway (B),NYSE:BRK.B,SHARE,,,200.52,1.0,,,,,,,,1.0,,
